algo,serie,taille,temps
insertion,testset1,100000,1.151852
insertion,testset1,100000,1.147516
insertion,testset1,100000,1.150467
insertion,testset1,100000,1.149724
insertion,testset1,100000,1.146047
insertion,testset1,100000,1.150296
insertion,testset1,100000,1.144270
insertion,testset1,100000,1.155773
insertion,testset1,100000,1.143702
insertion,testset1,10000,0.012007
insertion,testset1,10000,0.013250
insertion,testset1,10000,0.012532
insertion,testset1,10000,0.012533
insertion,testset1,10000,0.012787
insertion,testset1,10000,0.013615
insertion,testset1,10000,0.013187
insertion,testset1,10000,0.014628
insertion,testset1,10000,0.011929
insertion,testset1,1000,0.000147
insertion,testset1,1000,0.000149
insertion,testset1,1000,0.000215
insertion,testset1,1000,0.000234
insertion,testset1,1000,0.000281
insertion,testset1,1000,0.000215
insertion,testset1,1000,0.000221
insertion,testset1,1000,0.000287
insertion,testset1,1000,0.000202
insertion,testset1,500000,28.926936
insertion,testset1,500000,29.199020
insertion,testset1,500000,28.969865
insertion,testset1,500000,30.351173
insertion,testset1,500000,29.037041
insertion,testset1,500000,29.089385
insertion,testset1,500000,29.142768
insertion,testset1,500000,29.064853
insertion,testset1,500000,29.071444
insertion,testset1,50000,0.285505
insertion,testset1,50000,0.282897
insertion,testset1,50000,0.283212
insertion,testset1,50000,0.285993
insertion,testset1,50000,0.286772
insertion,testset1,50000,0.287214
insertion,testset1,50000,0.285040
insertion,testset1,50000,0.285059
insertion,testset1,50000,0.283843
insertion,testset1,5000,0.003180
insertion,testset1,5000,0.003622
insertion,testset1,5000,0.003875
insertion,testset1,5000,0.003481
insertion,testset1,5000,0.004209
insertion,testset1,5000,0.004630
insertion,testset1,5000,0.004286
insertion,testset1,5000,0.003887
insertion,testset1,5000,0.004196
insertion,testset2,100000,1.149870
insertion,testset2,10000,0.012671
insertion,testset2,1000,0.000261
insertion,testset2,500000,28.951699
insertion,testset2,50000,0.285996
insertion,testset2,5000,0.004380
stdsort,testset1,100000,0.005955
stdsort,testset1,100000,0.005480
stdsort,testset1,100000,0.006294
stdsort,testset1,100000,0.005793
stdsort,testset1,100000,0.005658
stdsort,testset1,100000,0.006351
stdsort,testset1,100000,0.006365
stdsort,testset1,100000,0.005609
stdsort,testset1,100000,0.005861
stdsort,testset1,10000,0.000531
stdsort,testset1,10000,0.000754
stdsort,testset1,10000,0.000838
stdsort,testset1,10000,0.000960
stdsort,testset1,10000,0.001285
stdsort,testset1,10000,0.000676
stdsort,testset1,10000,0.000801
stdsort,testset1,10000,0.000669
stdsort,testset1,10000,0.000694
stdsort,testset1,1000,0.000058
stdsort,testset1,1000,0.000077
stdsort,testset1,1000,0.000069
stdsort,testset1,1000,0.000099
stdsort,testset1,1000,0.000060
stdsort,testset1,1000,0.000108
stdsort,testset1,1000,0.000057
stdsort,testset1,1000,0.000056
stdsort,testset1,1000,0.000056
stdsort,testset1,500000,0.030090
stdsort,testset1,500000,0.030084
stdsort,testset1,500000,0.029806
stdsort,testset1,500000,0.030181
stdsort,testset1,500000,0.030021
stdsort,testset1,500000,0.030268
stdsort,testset1,500000,0.030000
stdsort,testset1,500000,0.029948
stdsort,testset1,500000,0.029934
stdsort,testset1,50000,0.003121
stdsort,testset1,50000,0.002940
stdsort,testset1,50000,0.003270
stdsort,testset1,50000,0.003013
stdsort,testset1,50000,0.003088
stdsort,testset1,50000,0.003549
stdsort,testset1,50000,0.002979
stdsort,testset1,50000,0.003138
stdsort,testset1,50000,0.003160
stdsort,testset1,5000,0.000243
stdsort,testset1,5000,0.000350
stdsort,testset1,5000,0.000397
stdsort,testset1,5000,0.000336
stdsort,testset1,5000,0.000421
stdsort,testset1,5000,0.000500
stdsort,testset1,5000,0.000547
stdsort,testset1,5000,0.000359
stdsort,testset1,5000,0.000406
stdsort,testset2,100000,0.006682
stdsort,testset2,10000,0.000534
stdsort,testset2,1000,0.000048
stdsort,testset2,500000,0.029752
stdsort,testset2,50000,0.003297
stdsort,testset2,5000,0.000272
