algo,serie,taille,temps
merge,testset1,100000,0.009907
merge,testset1,100000,0.009661
merge,testset1,100000,0.008728
merge,testset1,100000,0.009123
merge,testset1,100000,0.009059
merge,testset1,100000,0.009424
merge,testset1,100000,0.008535
merge,testset1,100000,0.009500
merge,testset1,100000,0.009285
merge,testset1,10000,0.000905
merge,testset1,10000,0.000910
merge,testset1,10000,0.001358
merge,testset1,10000,0.001436
merge,testset1,10000,0.001314
merge,testset1,10000,0.001006
merge,testset1,10000,0.001167
merge,testset1,10000,0.001500
merge,testset1,10000,0.000993
merge,testset1,1000,0.000090
merge,testset1,1000,0.000124
merge,testset1,1000,0.000140
merge,testset1,1000,0.000139
merge,testset1,1000,0.000121
merge,testset1,1000,0.000127
merge,testset1,1000,0.000117
merge,testset1,1000,0.000118
merge,testset1,1000,0.000110
merge,testset1,500000,0.046377
merge,testset1,500000,0.046707
merge,testset1,500000,0.046459
merge,testset1,500000,0.046727
merge,testset1,500000,0.046499
merge,testset1,500000,0.046456
merge,testset1,500000,0.046504
merge,testset1,500000,0.046432
merge,testset1,500000,0.046381
merge,testset1,50000,0.004819
merge,testset1,50000,0.004939
merge,testset1,50000,0.004188
merge,testset1,50000,0.004705
merge,testset1,50000,0.005237
merge,testset1,50000,0.005097
merge,testset1,50000,0.006922
merge,testset1,50000,0.005549
merge,testset1,50000,0.005335
merge,testset1,5000,0.000462
merge,testset1,5000,0.000488
merge,testset1,5000,0.000599
merge,testset1,5000,0.000629
merge,testset1,5000,0.000683
merge,testset1,5000,0.000720
merge,testset1,5000,0.000576
merge,testset1,5000,0.000505
merge,testset1,5000,0.000581
merge,testset2,100000,0.009367
merge,testset2,10000,0.000835
merge,testset2,1000,0.000076
merge,testset2,500000,0.046710
merge,testset2,50000,0.005324
merge,testset2,5000,0.000414
mergeSeuil,testset1,100000,0.008517
mergeSeuil,testset1,100000,0.009432
mergeSeuil,testset1,100000,0.009328
mergeSeuil,testset1,100000,0.009061
mergeSeuil,testset1,100000,0.008428
mergeSeuil,testset1,100000,0.009670
mergeSeuil,testset1,100000,0.009757
mergeSeuil,testset1,100000,0.009534
mergeSeuil,testset1,100000,0.008947
mergeSeuil,testset1,10000,0.000865
mergeSeuil,testset1,10000,0.000914
mergeSeuil,testset1,10000,0.001115
mergeSeuil,testset1,10000,0.001385
mergeSeuil,testset1,10000,0.001206
mergeSeuil,testset1,10000,0.001180
mergeSeuil,testset1,10000,0.001086
mergeSeuil,testset1,10000,0.001438
mergeSeuil,testset1,10000,0.000950
mergeSeuil,testset1,1000,0.000094
mergeSeuil,testset1,1000,0.000110
mergeSeuil,testset1,1000,0.000143
mergeSeuil,testset1,1000,0.000150
mergeSeuil,testset1,1000,0.000104
mergeSeuil,testset1,1000,0.000109
mergeSeuil,testset1,1000,0.000111
mergeSeuil,testset1,1000,0.000151
mergeSeuil,testset1,1000,0.000121
mergeSeuil,testset1,500000,0.046747
mergeSeuil,testset1,500000,0.046669
mergeSeuil,testset1,500000,0.046983
mergeSeuil,testset1,500000,0.047624
mergeSeuil,testset1,500000,0.047489
mergeSeuil,testset1,500000,0.046535
mergeSeuil,testset1,500000,0.046425
mergeSeuil,testset1,500000,0.047065
mergeSeuil,testset1,500000,0.046616
mergeSeuil,testset1,50000,0.005274
mergeSeuil,testset1,50000,0.005378
mergeSeuil,testset1,50000,0.004942
mergeSeuil,testset1,50000,0.005832
mergeSeuil,testset1,50000,0.004433
mergeSeuil,testset1,50000,0.004409
mergeSeuil,testset1,50000,0.004953
mergeSeuil,testset1,50000,0.004339
mergeSeuil,testset1,50000,0.004862
mergeSeuil,testset1,5000,0.000413
mergeSeuil,testset1,5000,0.000442
mergeSeuil,testset1,5000,0.000593
mergeSeuil,testset1,5000,0.000713
mergeSeuil,testset1,5000,0.000751
mergeSeuil,testset1,5000,0.000534
mergeSeuil,testset1,5000,0.000629
mergeSeuil,testset1,5000,0.000749
mergeSeuil,testset1,5000,0.000991
mergeSeuil,testset2,100000,0.008869
mergeSeuil,testset2,10000,0.000850
mergeSeuil,testset2,1000,0.000085
mergeSeuil,testset2,500000,0.046726
mergeSeuil,testset2,50000,0.005197
mergeSeuil,testset2,5000,0.000471
