algo,serie,taille,temps
insertion,testset1,100000,1.160730
insertion,testset1,100000,1.160916
insertion,testset1,100000,1.157141
insertion,testset1,100000,1.155205
insertion,testset1,100000,1.153107
insertion,testset1,100000,1.157424
insertion,testset1,100000,1.150131
insertion,testset1,100000,1.169268
insertion,testset1,100000,1.161711
insertion,testset1,10000,0.015782
insertion,testset1,10000,0.013979
insertion,testset1,10000,0.016058
insertion,testset1,10000,0.014405
insertion,testset1,10000,0.014838
insertion,testset1,10000,0.015462
insertion,testset1,10000,0.012486
insertion,testset1,10000,0.014152
insertion,testset1,10000,0.015166
insertion,testset1,1000,0.000236
insertion,testset1,1000,0.000149
insertion,testset1,1000,0.000124
insertion,testset1,1000,0.000145
insertion,testset1,1000,0.000207
insertion,testset1,1000,0.000246
insertion,testset1,1000,0.000290
insertion,testset1,1000,0.000309
insertion,testset1,1000,0.000310
insertion,testset1,500000,29.049783
insertion,testset1,500000,29.019751
insertion,testset1,500000,29.078358
insertion,testset1,500000,29.193801
insertion,testset1,500000,28.990903
insertion,testset1,500000,28.977678
insertion,testset1,500000,29.022892
insertion,testset1,500000,29.106305
insertion,testset1,500000,29.908893
insertion,testset1,50000,0.326218
insertion,testset1,50000,0.326578
insertion,testset1,50000,0.327110
insertion,testset1,50000,0.328668
insertion,testset1,50000,0.329689
insertion,testset1,50000,0.326276
insertion,testset1,50000,0.330233
insertion,testset1,50000,0.324943
insertion,testset1,50000,0.323522
insertion,testset1,5000,0.003434
insertion,testset1,5000,0.003780
insertion,testset1,5000,0.003705
insertion,testset1,5000,0.003750
insertion,testset1,5000,0.003685
insertion,testset1,5000,0.003939
insertion,testset1,5000,0.003576
insertion,testset1,5000,0.003558
insertion,testset1,5000,0.003716
insertion,testset2,100000,1.325345
insertion,testset2,10000,0.013038
insertion,testset2,1000,0.000144
insertion,testset2,500000,29.901042
insertion,testset2,50000,0.293103
insertion,testset2,5000,0.003799
stdsort,testset1,100000,0.005652
stdsort,testset1,100000,0.005832
stdsort,testset1,100000,0.005585
stdsort,testset1,100000,0.005549
stdsort,testset1,100000,0.006400
stdsort,testset1,100000,0.006483
stdsort,testset1,100000,0.005772
stdsort,testset1,100000,0.005925
stdsort,testset1,100000,0.006901
stdsort,testset1,10000,0.000674
stdsort,testset1,10000,0.000469
stdsort,testset1,10000,0.000665
stdsort,testset1,10000,0.001556
stdsort,testset1,10000,0.000864
stdsort,testset1,10000,0.001101
stdsort,testset1,10000,0.001098
stdsort,testset1,10000,0.001123
stdsort,testset1,10000,0.001098
stdsort,testset1,1000,0.000083
stdsort,testset1,1000,0.000111
stdsort,testset1,1000,0.000045
stdsort,testset1,1000,0.000042
stdsort,testset1,1000,0.000067
stdsort,testset1,1000,0.000109
stdsort,testset1,1000,0.000071
stdsort,testset1,1000,0.000075
stdsort,testset1,1000,0.000042
stdsort,testset1,500000,0.030041
stdsort,testset1,500000,0.030095
stdsort,testset1,500000,0.030767
stdsort,testset1,500000,0.030447
stdsort,testset1,500000,0.030284
stdsort,testset1,500000,0.030730
stdsort,testset1,500000,0.031581
stdsort,testset1,500000,0.029998
stdsort,testset1,500000,0.030072
stdsort,testset1,50000,0.003248
stdsort,testset1,50000,0.002952
stdsort,testset1,50000,0.003065
stdsort,testset1,50000,0.002713
stdsort,testset1,50000,0.004630
stdsort,testset1,50000,0.003007
stdsort,testset1,50000,0.003266
stdsort,testset1,50000,0.003734
stdsort,testset1,50000,0.003276
stdsort,testset1,5000,0.000319
stdsort,testset1,5000,0.000512
stdsort,testset1,5000,0.000257
stdsort,testset1,5000,0.000260
stdsort,testset1,5000,0.000466
stdsort,testset1,5000,0.000388
stdsort,testset1,5000,0.000365
stdsort,testset1,5000,0.000470
stdsort,testset1,5000,0.000480
stdsort,testset2,100000,0.005568
stdsort,testset2,10000,0.000866
stdsort,testset2,1000,0.000076
stdsort,testset2,500000,0.029814
stdsort,testset2,50000,0.003700
stdsort,testset2,5000,0.000359
