algo,taille,temps,hauteur
vorace,100000,0.024413,
22267596,,,
vorace,100000,0.025800,
28208242,,,
vorace,100000,0.024488,
26974356,,,
vorace,100000,0.025575,
25690110,,,
vorace,100000,0.024748,
24776871,,,
vorace,100000,0.024504,
25712266,,,
vorace,100000,0.024700,
26596532,,,
vorace,100000,0.024459,
23476963,,,
vorace,100000,0.024648,
27101876,,,
vorace,100000,0.024427,
25141068,,,
vorace,10000,0.002815,
5221365,,,
vorace,10000,0.003232,
5144854,,,
vorace,10000,0.002536,
5125795,,,
vorace,10000,0.002340,
4826142,,,
vorace,10000,0.002859,
5357646,,,
vorace,10000,0.003465,
4875365,,,
vorace,10000,0.002284,
5085327,,,
vorace,10000,0.003381,
5307998,,,
vorace,10000,0.002819,
4995454,,,
vorace,10000,0.002824,
5455254,,,
vorace,1000,0.000279,
130600,,,
vorace,1000,0.000463,
150430,,,
vorace,1000,0.000483,
146370,,,
vorace,1000,0.000379,
157008,,,
vorace,1000,0.000416,
163836,,,
vorace,1000,0.000485,
161176,,,
vorace,1000,0.000400,
147258,,,
vorace,1000,0.000441,
150442,,,
vorace,1000,0.000583,
155467,,,
vorace,1000,0.000398,
146923,,,
vorace,100,0.000055,
4960,,,
vorace,100,0.000061,
3878,,,
vorace,100,0.000045,
5030,,,
vorace,100,0.000056,
4360,,,
vorace,100,0.000034,
4087,,,
vorace,100,0.000046,
4632,,,
vorace,100,0.000051,
4971,,,
vorace,100,0.000054,
4397,,,
vorace,100,0.000051,
4968,,,
vorace,100,0.000059,
4971,,,
vorace,50000,0.011873,
17867219,,,
vorace,50000,0.012064,
18987122,,,
vorace,50000,0.011991,
18379330,,,
vorace,50000,0.011915,
18725674,,,
vorace,50000,0.011943,
17614590,,,
vorace,50000,0.012036,
18703884,,,
vorace,50000,0.011813,
17535537,,,
vorace,50000,0.011721,
17358985,,,
vorace,50000,0.011989,
18202868,,,
vorace,50000,0.012239,
19189129,,,
vorace,5000,0.001138,
1663561,,,
vorace,5000,0.002066,
1784754,,,
vorace,5000,0.001539,
1853738,,,
vorace,5000,0.001780,
1790571,,,
vorace,5000,0.001419,
1808966,,,
vorace,5000,0.001665,
1848423,,,
vorace,5000,0.002190,
1846196,,,
vorace,5000,0.001209,
1693523,,,
vorace,5000,0.001342,
1688196,,,
vorace,5000,0.001696,
1795970,,,
vorace,500,0.000156,
52452,,,
vorace,500,0.000227,
46012,,,
vorace,500,0.000237,
44265,,,
vorace,500,0.000254,
45295,,,
vorace,500,0.000215,
50178,,,
vorace,500,0.000286,
52744,,,
vorace,500,0.000187,
57003,,,
vorace,500,0.000255,
48736,,,
vorace,500,0.000196,
50557,,,
vorace,500,0.000222,
56281,,,
