algo,taille,temps,hauteur
tabou,100000,1076.689573,
113376784,,,
tabou,100000,1130.838553,
115807844,,,
tabou,100000,984.693506,
101521767,,,
tabou,100000,1085.380235,
109730234,,,
tabou,100000,1263.287499,
119773659,,,
tabou,100000,918.295163,
99491055,,,
tabou,100000,878.620122,
90768175,,,
tabou,100000,709.286833,
72484006,,,
tabou,100000,691.940186,
69532531,,,
tabou,100000,952.046186,
98530860,,,
tabou,10000,30.139983,
2764981,,,
tabou,10000,41.884989,
4572860,,,
tabou,10000,37.637737,
3535498,,,
tabou,10000,41.085574,
4456500,,,
tabou,10000,32.471590,
3050199,,,
tabou,10000,29.131388,
2688639,,,
tabou,10000,31.372828,
3063658,,,
tabou,10000,25.110113,
2107110,,,
tabou,10000,43.089279,
4700412,,,
tabou,10000,31.918604,
3171356,,,
tabou,1000,2.267249,
170151,,,
tabou,1000,1.989201,
145377,,,
tabou,1000,2.126515,
159184,,,
tabou,1000,2.029121,
153756,,,
tabou,1000,1.824602,
115548,,,
tabou,1000,1.768498,
108747,,,
tabou,1000,1.886173,
125561,,,
tabou,1000,1.516534,
62230,,,
tabou,1000,1.492250,
55799,,,
tabou,1000,2.339340,
190710,,,
tabou,100,0.140104,
4673,,,
tabou,100,0.137728,
4880,,,
tabou,100,0.146535,
5503,,,
tabou,100,0.135007,
4410,,,
tabou,100,0.140264,
5195,,,
tabou,100,0.142444,
4862,,,
tabou,100,0.143438,
5101,,,
tabou,100,0.142767,
5286,,,
tabou,100,0.143938,
5251,,,
tabou,100,0.148293,
6616,,,
tabou,50000,324.063910,
36928621,,,
tabou,50000,352.870616,
37819764,,,
tabou,50000,215.889517,
22674119,,,
tabou,50000,285.076403,
32500893,,,
tabou,50000,356.928724,
37316605,,,
tabou,50000,499.133608,
49334515,,,
tabou,50000,349.531557,
38112415,,,
tabou,50000,194.604955,
20116931,,,
tabou,50000,344.809452,
39277922,,,
tabou,50000,205.313969,
21565137,,,
tabou,5000,13.840294,
1285797,,,
tabou,5000,13.839869,
1223877,,,
tabou,5000,16.593097,
1628312,,,
tabou,5000,12.265171,
977838,,,
tabou,5000,14.393878,
1354230,,,
tabou,5000,15.965954,
1477081,,,
tabou,5000,13.502515,
1269034,,,
tabou,5000,13.881259,
1213584,,,
tabou,5000,16.100141,
1630253,,,
tabou,5000,16.066836,
1467887,,,
tabou,500,0.743995,
26560,,,
tabou,500,0.897858,
51806,,,
tabou,500,0.931856,
56097,,,
tabou,500,0.944732,
60763,,,
tabou,500,0.737776,
23393,,,
tabou,500,0.859753,
52163,,,
tabou,500,1.022095,
73375,,,
tabou,500,0.917842,
52175,,,
tabou,500,0.880294,
50180,,,
tabou,500,0.805810,
36571,,,
